Result: 15912540  /100000000  , Оценка числа π = 3.1421759, Совпадающие цифры = 4, Погрешность = 0.0005833
Result: 15917100  /100000000  , Оценка числа π = 3.1412757, Совпадающие цифры = 5, Погрешность = 0.0003169
Result: 15909703  /100000000  , Оценка числа π = 3.1427362, Совпадающие цифры = 4, Погрешность = 0.0011436
Result: 15918261  /100000000  , Оценка числа π = 3.1410466, Совпадающие цифры = 5, Погрешность = 0.0005460
Result: 15915163  /100000000  , Оценка числа π = 3.1416581, Совпадающие цифры = 5, Погрешность = 0.0000654
Result: 15912627  /100000000  , Оценка числа π = 3.1421587, Совпадающие цифры = 4, Погрешность = 0.0005661
Result: 15919494  /100000000  , Оценка числа π = 3.1408033, Совпадающие цифры = 4, Погрешность = 0.0007893
Result: 15911253  /100000000  , Оценка числа π = 3.1424301, Совпадающие цифры = 4, Погрешность = 0.0008374
Result: 15909638  /100000000  , Оценка числа π = 3.1427491, Совпадающие цифры = 4, Погрешность = 0.0011564
Result: 15926434  /100000000  , Оценка числа π = 3.1394347, Совпадающие цифры = 3, Погрешность = 0.0021579
Result: 15920696  /100000000  , Оценка числа π = 3.1405662, Совпадающие цифры = 4, Погрешность = 0.0010264
Result: 159162840 /1000000000 , Оценка числа π = 3.1414368, Совпадающие цифры = 5, Погрешность = 0.0001559
Result: 159138403 /1000000000 , Оценка числа π = 3.1419192, Совпадающие цифры = 5, Погрешность = 0.0003265
Result: 159160388 /1000000000 , Оценка числа π = 3.1414852, Совпадающие цифры = 5, Погрешность = 0.0001075
Result: 159156581 /1000000000 , Оценка числа π = 3.1415603, Совпадающие цифры = 6, Погрешность = 0.0000323
Result: 159145505 /1000000000 , Оценка числа π = 3.1417790, Совпадающие цифры = 5, Погрешность = 0.0001863
Result: 159163956 /1000000000 , Оценка числа π = 3.1414148, Совпадающие цифры = 5, Погрешность = 0.0001779
Result: 159161636 /1000000000 , Оценка числа π = 3.1414605, Совпадающие цифры = 5, Погрешность = 0.0001321
Result: 159155542 /1000000000 , Оценка числа π = 3.1415808, Совпадающие цифры = 6, Погрешность = 0.0000118
Result: 159161370 /1000000000 , Оценка числа π = 3.1414658, Совпадающие цифры = 5, Погрешность = 0.0001269
Result: 159161935 /1000000000 , Оценка числа π = 3.1414546, Совпадающие цифры = 5, Погрешность = 0.0001380
Result: 159144508 /1000000000 , Оценка числа π = 3.1417986, Совпадающие цифры = 5, Погрешность = 0.0002060
Result: 1591584535/10000000000, Оценка числа π = 3.1415234, Совпадающие цифры = 6, Погрешность = 0.0000693
Result: 1591554596/10000000000, Оценка числа π = 3.1415825, Совпадающие цифры = 6, Погрешность = 0.0000102
Result: 1591572817/10000000000, Оценка числа π = 3.1415465, Совпадающие цифры = 6, Погрешность = 0.0000462
Result: 1591572760/10000000000, Оценка числа π = 3.1415466, Совпадающие цифры = 6, Погрешность = 0.0000460
Result: 1591556715/10000000000, Оценка числа π = 3.1415783, Совпадающие цифры = 6, Погрешность = 0.0000144
Result: 1591581273/10000000000, Оценка числа π = 3.1415298, Совпадающие цифры = 6, Погрешность = 0.0000629
Result: 1591558991/10000000000, Оценка числа π = 3.1415738, Совпадающие цифры = 6, Погрешность = 0.0000189
Result: 1591548065/10000000000, Оценка числа π = 3.1415953, Совпадающие цифры = 7, Погрешность = 0.0000027
Result: 1591572693/10000000000, Оценка числа π = 3.1415467, Совпадающие цифры = 6, Погрешность = 0.0000459
Result: 1591561415/10000000000, Оценка числа π = 3.1415690, Совпадающие цифры = 6, Погрешность = 0.0000237
Result: 1591569061/10000000000, Оценка числа π = 3.1415539, Совпадающие цифры = 6, Погрешность = 0.0000387
